i,j,k,x,y,z,dx,dy,dz,primary_material,primary_fraction,secondary_material,secondary_fraction,surface_material,total_fraction,cell_volume,remaining_volume
1,4,1,5.000000,20.000000,5.000000,5.000000,5.000000,5.000000,Silicon,1.000000,Empty,0.000000,Silicon,1.000000,125.000000,125.000000
2,4,1,10.000000,20.000000,5.000000,5.000000,5.000000,5.000000,Silicon,1.000000,Empty,0.000000,Silicon,1.000000,125.000000,125.000000
3,4,1,15.000000,20.000000,5.000000,5.000000,5.000000,5.000000,Silicon,1.000000,Empty,0.000000,Silicon,1.000000,125.000000,125.000000
4,4,1,20.000000,20.000000,5.000000,5.000000,5.000000,5.000000,Silicon,1.000000,Empty,0.000000,Silicon,1.000000,125.000000,125.000000
5,4,1,25.000000,20.000000,5.000000,5.000000,5.000000,5.000000,Silicon,1.000000,Empty,0.000000,Silicon,1.000000,125.000000,125.000000
6,4,1,30.000000,20.000000,5.000000,5.000000,5.000000,5.000000,Silicon,1.000000,Empty,0.000000,Silicon,1.000000,125.000000,125.000000
7,4,1,35.000000,20.000000,5.000000,5.000000,5.000000,5.000000,Silicon,1.000000,Empty,0.000000,Silicon,1.000000,125.000000,125.000000
8,4,1,40.000000,20.000000,5.000000,5.000000,5.000000,5.000000,Silicon,1.000000,Empty,0.000000,Silicon,1.000000,125.000000,125.000000
9,4,1,45.000000,20.000000,5.000000,5.000000,5.000000,5.000000,Silicon,1.000000,Empty,0.000000,Silicon,1.000000,125.000000,125.000000
0,5,1,0.000000,25.000000,5.000000,5.000000,5.000000,5.000000,Silicon,1.000000,Empty,0.000000,Silicon,1.000000,125.000000,125.000000
1,5,1,5.000000,25.000000,5.000000,5.000000,5.000000,5.000000,Silicon,1.000000,Empty,0.000000,Silicon,1.000000,125.000000,125.000000
2,5,1,10.000000,25.000000,5.000000,5.000000,5.000000,5.000000,Silicon,1.000000,Empty,0.000000,Silicon,1.000000,125.000000,125.000000
3,5,1,15.000000,25.000000,5.000000,5.000000,5.000000,5.000000,Silicon,1.000000,Empty,0.000000,Silicon,1.000000,125.000000,125.000000
4,5,1,20.000000,25.000000,5.000000,5.000000,5.000000,5.000000,Silicon,1.000000,Empty,0.000000,Silicon,1.000000,125.000000,125.000000
5,5,1,25.000000,25.000000,5.000000,5.000000,5.000000,5.000000,Silicon,1.000000,Empty,0.000000,Silicon,1.000000,125.000000,125.000000
6,5,1,30.000000,25.000000,5.000000,5.000000,5.000000,5.000000,Silicon,1.000000,Empty,0.000000,Silicon,1.000000,125.000000,125.000000
7,5,1,35.000000,25.000000,5.000000,5.000000,5.000000,5.000000,Silicon,1.000000,Empty,0.000000,Silicon,1.000000,125.000000,125.000000
8,5,1,40.000000,25.000000,5.000000,5.000000,5.000000,5.000000,Silicon,1.000000,Empty,0.000000,Silicon,1.000000,125.000000,125.000000
9,5,1,45.000000,25.000000,5.000000,5.000000,5.000000,5.000000,Silicon,1.000000,Empty,0.000000,Silicon,1.000000,125.000000,125.000000
0,6,1,0.000000,30.000000,5.000000,5.000000,5.000000,5.000000,Silicon,1.000000,Empty,0.000000,Silicon,1.000000,125.000000,125.000000
1,6,1,5.000000,30.000000,5.000000,5.000000,5.000000,5.000000,Silicon,1.000000,Empty,0.000000,Silicon,1.000000,125.000000,125.000000
2,6,1,10.000000,30.000000,5.000000,5.000000,5.000000,5.000000,Silicon,1.000000,Empty,0.000000,Silicon,1.000000,125.000000,125.000000
3,6,1,15.000000,30.000000,5.000000,5.000000,5.000000,5.000000,Silicon,1.000000,Empty,0.000000,Silicon,1.000000,125.000000,125.000000
4,6,1,20.000000,30.000000,5.000000,5.000000,5.000000,5.000000,Silicon,1.000000,Empty,0.000000,Silicon,1.000000,125.000000,125.000000
5,6,1,25.000000,30.000000,5.000000,5.000000,5.000000,5.000000,Silicon,1.000000,Empty,0.000000,Silicon,1.000000,125.000000,125.000000
6,6,1,30.000000,30.000000,5.000000,5.000000,5.000000,5.000000,Silicon,1.000000,Empty,0.000000,Silicon,1.000000,125.000000,125.000000
7,6,1,35.000000,30.000000,5.000000,5.000000,5.000000,5.000000,Silicon,1.000000,Empty,0.000000,Silicon,1.000000,125.000000,125.000000
